countyfips,periods,final_consumer_spending,average_consumer_spending,sd_consumer_spending,positive_consumer_spending,negative_consumer_spending,max_increase_consumer_spending,max_decrease_consumer_spending
45049,231,-0.238,0.07095641991341992,0.17479646294725398,156,75,0.55,-0.349
45051,231,0.158,0.07081501298701298,0.10738433189896368,177,54,0.252,-0.411
45053,231,0.386,0.24701484848484848,0.17224440360151666,208,23,0.674,-0.366
45055,231,0.413,0.24877051168831169,0.13095850865579955,221,10,0.492,-0.231
45057,231,0.338,0.16814030303030303,0.14653147570875696,197,34,0.397,-0.351
45059,231,0.164,0.15140865800865802,0.13641998173932016,199,32,0.514,-0.257
45063,231,0.258,0.15580099567099567,0.1016476854346508,210,21,0.326,-0.276
45067,231,0.686,0.6141725974025974,0.1658281707520266,229,2,0.736,-0.137
45071,231,0.194,0.13085073593073593,0.12076130331063067,202,29,0.391,-0.34
45073,231,0.208,0.12327865844155844,0.10379749564316298,203,28,0.3,-0.266
45075,231,0.286,0.22034033333333333,0.12311472098909694,213,18,0.533,-0.249
45077,231,0.279,0.14745290043290044,0.11009913365683535,207,24,0.358,-0.273
45079,231,0.237,0.16264535064935065,0.1066885209644248,213,18,0.382,-0.303
45083,231,0.229,0.09048467532467533,0.10062970796873251,186,45,0.294,-0.282
45085,231,0.191,0.056505320346320345,0.11204073258329436,171,60,0.332,-0.335
45087,231,0.315,0.21134147186147187,0.2042316433228356,196,35,0.736,-0.439
45089,231,0.361,0.17058831168831168,0.14196080645944315,207,24,0.464,-0.315
45091,231,0.189,0.12381125541125541,0.12477260915510908,186,45,0.39,-0.338
46005,231,0.285,0.13153887445887447,0.12922927713290386,196,35,0.426,-0.351
46011,231,0.205,0.17561603896103897,0.17385982391121188,185,46,0.57,-0.419
46013,231,-0.188,0.013827792207792207,0.15075766762494422,140,91,0.736,-0.35
46015,231,0.211,0.08788593073593073,0.20322460027371828,162,69,0.664,-0.548
46019,231,-0.0506,0.009631625108225109,0.14253688422713143,128,103,0.4,-0.409
46023,231,0.301,0.33902012987012986,0.2073020301510954,212,19,0.712,-0.236
46027,231,0.061,0.1589554199134199,0.2723662929621437,166,65,0.736,-0.406
46029,231,-0.176,-0.17209580086580087,0.1051278696682581,18,213,0.0779,-0.47
46033,231,-0.123,0.15495272727272727,0.16926192399049594,189,42,0.653,-0.285
46035,231,0.154,0.11194515151515151,0.19334636560564494,166,65,0.561,-0.416
46047,231,0.00112,-0.05872606493506494,0.1293553807345254,73,158,0.321,-0.428
46057,231,0.308,0.19321450216450217,0.1486762541011692,191,40,0.482,-0.238
46065,231,-0.165,-0.17986272727272729,0.08765507478505237,6,225,0.0925,-0.389
46079,231,0.113,0.0875648658008658,0.1682718635262442,171,60,0.492,-0.365
46081,231,-0.0147,0.0599811341991342,0.12255882740717228,167,64,0.35,-0.381
46083,231,0.0877,0.0566518658008658,0.12740785903376944,171,60,0.285,-0.359
46093,231,0.175,0.07096839826839826,0.14819196150978958,163,68,0.408,-0.431
46099,231,-0.00848,-0.03927868354978355,0.09450064016836944,82,149,0.161,-0.388
46103,231,0.0489,-0.020318251082251083,0.11262730948825321,113,118,0.273,-0.394
46109,231,-0.232,-0.11468116883116883,0.16789931400259187,60,171,0.362,-0.559
46115,231,0.0927,0.07481125974025975,0.1526594518930291,154,77,0.446,-0.369
46125,231,-0.0419,0.007783095238095238,0.1488207643640921,106,125,0.544,-0.36
